gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsPlayType,specialTeamsResult,kickerId,yardlineSide,yardlineNumber,gameClock,kickLength,displayName,season,week,gameDate,homeTeamAbbr,visitorTeamAbbr,seasonType
2025_05_TEN_ARI,4784,"(:03) 6-J.Slye 29 yard field goal is GOOD, Center-46-M.Cox, Holder-3-J.Hekker.",4,4,11,TEN,Field Goal,Kick Attempt Good,00-0035192,ARI,11.0,00:03:00,29.0,J.Slye,2025,5,2025-10-05,ARI,TEN,REG
2025_05_WAS_LAC,763,"(3:02) 11-C.Dicker 55 yard field goal is GOOD, Center-41-R.Lovato, Holder-16-J.Scott.",1,4,11,LAC,Field Goal,Kick Attempt Good,00-0037224,WAS,37.0,03:02:00,55.0,C.Dicker,2025,5,2025-10-05,LAC,WAS,REG
2025_05_WAS_LAC,1992,"(:05) 16-M.Gay 29 yard field goal is GOOD, Center-69-T.Ott, Holder-10-T.Way.",2,2,10,WAS,Field Goal,Kick Attempt Good,00-0035269,LAC,11.0,00:05:00,29.0,M.Gay,2025,5,2025-10-05,LAC,WAS,REG
2025_05_WAS_LAC,2757,"(5:52) 16-M.Gay 36 yard field goal is GOOD, Center-69-T.Ott, Holder-10-T.Way. Penalty on LAC-53-D.Phillips, Defensive Offside, declined.",3,4,10,WAS,Field Goal,Kick Attempt Good,00-0035269,LAC,18.0,05:52:00,36.0,M.Gay,2025,5,2025-10-05,LAC,WAS,REG
2025_06_ARI_IND,1891,"(1:59) 38-C.Ryland 40 yard field goal is GOOD, Center-46-A.Brewer, Holder-49-P.O'Donnell.",2,4,16,ARI,Field Goal,Kick Attempt Good,00-0038567,IND,22.0,01:59:00,40.0,C.Ryland,2025,6,2025-10-12,IND,ARI,REG
2025_06_ARI_IND,2844,"(4:36) 12-M.Badgley 45 yard field goal is GOOD, Center-46-L.Rhodes, Holder-8-R.Sanchez.",3,4,6,IND,Field Goal,Kick Attempt Good,00-0034084,ARI,27.0,04:36:00,45.0,M.Badgley,2025,6,2025-10-12,IND,ARI,REG
2025_06_ARI_IND,3635,"(9:36) 38-C.Ryland 44 yard field goal is GOOD, Center-46-A.Brewer, Holder-49-P.O'Donnell.",4,4,13,ARI,Field Goal,Kick Attempt Good,00-0038567,IND,26.0,09:36:00,44.0,C.Ryland,2025,6,2025-10-12,IND,ARI,REG
2025_06_BUF_ATL,3342,"(12:31) 39-J.Romo 37 yard field goal is BLOCKED (50-G.Rousseau), Center-49-L.McCullough, Holder-13-B.Pinion, RECOVERED by BUF-37-J.Hancock at BUF 39.",4,4,12,ATL,Field Goal,Blocked Kick Attempt,00-0037542,BUF,19.0,12:31:00,37.0,J.Romo,2025,6,2025-10-13,ATL,BUF,REG
2025_06_BUF_ATL,4080,"(1:47) 39-J.Romo 33 yard field goal is GOOD, Center-49-L.McCullough, Holder-13-B.Pinion.",4,4,15,ATL,Field Goal,Kick Attempt Good,00-0037542,BUF,15.0,01:47:00,33.0,J.Romo,2025,6,2025-10-13,ATL,BUF,REG
2025_06_CHI_WAS,254,"(10:45) 16-J.Moody 47 yard field goal is GOOD, Center-46-S.Daly, Holder-19-T.Taylor.",1,4,4,CHI,Field Goal,Kick Attempt Good,00-0038562,WAS,29.0,10:45:00,47.0,J.Moody,2025,6,2025-10-13,WAS,CHI,REG
2025_06_CHI_WAS,795,"(2:30) 16-J.Moody 48 yard field goal is GOOD, Center-46-S.Daly, Holder-19-T.Taylor.",1,4,8,CHI,Field Goal,Kick Attempt Good,00-0038562,WAS,30.0,02:30:00,48.0,J.Moody,2025,6,2025-10-13,WAS,CHI,REG
2025_06_CHI_WAS,1928,"(1:14) 16-M.Gay 50 yard field goal is No Good, Hit Left Upright, Center-69-T.Ott, Holder-10-T.Way.",2,4,7,WAS,Field Goal,Kick Attempt No Good,00-0035269,CHI,32.0,01:14:00,50.0,M.Gay,2025,6,2025-10-13,WAS,CHI,REG
2025_06_CHI_WAS,2308,"(12:03) 16-M.Gay 53 yard field goal is GOOD, Center-69-T.Ott, Holder-10-T.Way.",3,4,16,WAS,Field Goal,Kick Attempt Good,00-0035269,CHI,35.0,12:03:00,53.0,M.Gay,2025,6,2025-10-13,WAS,CHI,REG
2025_06_CHI_WAS,2615,"(8:09) 16-J.Moody 41 yard field goal is GOOD, Center-46-S.Daly, Holder-19-T.Taylor.",3,4,18,CHI,Field Goal,Kick Attempt Good,00-0038562,WAS,23.0,08:09:00,41.0,J.Moody,2025,6,2025-10-13,WAS,CHI,REG
2025_06_CHI_WAS,3162,"(15:00) 16-J.Moody 48 yard field goal is BLOCKED (94-D.Payne), Center-46-S.Daly, Holder-19-T.Taylor, recovered by CHI-16-J.Moody at WAS 37.",4,4,6,CHI,Field Goal,Blocked Kick Attempt,00-0038562,WAS,30.0,15:00:00,48.0,J.Moody,2025,6,2025-10-13,WAS,CHI,REG
2025_06_CHI_WAS,4268,"(:03) 16-J.Moody 38 yard field goal is GOOD, Center-46-S.Daly, Holder-19-T.Taylor.",4,2,12,CHI,Field Goal,Kick Attempt Good,00-0038562,WAS,20.0,00:03:00,38.0,J.Moody,2025,6,2025-10-13,WAS,CHI,REG
2025_06_CIN_GB,757,"(14:20) 35-L.Havrisik 43 yard field goal is GOOD, Center-42-M.Orzech, Holder-19-D.Whelan.",2,4,6,GB,Field Goal,Kick Attempt Good,00-0038152,CIN,25.0,14:20:00,43.0,L.Havrisik,2025,6,2025-10-12,GB,CIN,REG
2025_06_CIN_GB,1981,"(:01) 2-E.McPherson 67 yard field goal is No Good, Center-46-W.Wagner, Holder-8-R.Rehkow. 25-K.Nixon at GB -5 to GB 32 for 37 yards (71-A.Mims; 74-J.Rivers).",2,4,1,CIN,Field Goal,Kick Attempt No Good,00-0036854,GB,49.0,00:01:00,67.0,E.McPherson,2025,6,2025-10-12,GB,CIN,REG
2025_06_CIN_GB,3130,"(10:47) 2-E.McPherson 45 yard field goal is GOOD, Center-46-W.Wagner, Holder-8-R.Rehkow.",4,4,8,CIN,Field Goal,Kick Attempt Good,00-0036854,GB,27.0,10:47:00,45.0,E.McPherson,2025,6,2025-10-12,GB,CIN,REG
2025_06_CIN_GB,3897,"(1:56) 35-L.Havrisik 39 yard field goal is GOOD, Center-42-M.Orzech, Holder-19-D.Whelan.",4,4,2,GB,Field Goal,Kick Attempt Good,00-0038152,CIN,21.0,01:56:00,39.0,L.Havrisik,2025,6,2025-10-12,GB,CIN,REG
2025_06_CIN_GB,4062,"(:46) 2-E.McPherson 56 yard field goal is No Good, Wide Right, Center-46-W.Wagner, Holder-8-R.Rehkow.",4,4,6,CIN,Field Goal,Kick Attempt No Good,00-0036854,GB,38.0,00:46:00,56.0,E.McPherson,2025,6,2025-10-12,GB,CIN,REG
2025_06_CLE_PIT,257,"(10:59) 9-C.Boswell 44 yard field goal is GOOD, Center-46-C.Kuntz, Holder-3-C.Waitman.",1,4,11,PIT,Field Goal,Kick Attempt Good,00-0031136,CLE,26.0,10:59:00,44.0,C.Boswell,2025,6,2025-10-12,PIT,CLE,REG
2025_06_CLE_PIT,1173,"(11:06) 9-C.Boswell 50 yard field goal is GOOD, Center-46-C.Kuntz, Holder-3-C.Waitman.",2,4,10,PIT,Field Goal,Kick Attempt Good,00-0031136,CLE,32.0,11:06:00,50.0,C.Boswell,2025,6,2025-10-12,PIT,CLE,REG
2025_06_CLE_PIT,1602,"(3:43) 9-C.Boswell 48 yard field goal is GOOD, Center-46-C.Kuntz, Holder-3-C.Waitman.",2,4,7,PIT,Field Goal,Kick Attempt Good,00-0031136,CLE,30.0,03:43:00,48.0,C.Boswell,2025,6,2025-10-12,PIT,CLE,REG
2025_06_CLE_PIT,2203,"(:03) 25-A.Szmyt 31 yard field goal is GOOD, Center-50-R.Sunahara, Holder-13-C.Bojorquez.",2,3,12,CLE,Field Goal,Kick Attempt Good,00-0038428,PIT,13.0,00:03:00,31.0,A.Szmyt,2025,6,2025-10-12,PIT,CLE,REG
