flight_id,flight_date,quarter,month_number,day_of_week,marketing_carrier_code,operating_carrier_code,origin_airport_code,origin_city_name,origin_state,destination_airport_code,destination_city_name,destination_state,scheduled_departure_hhmm,actual_departure_hhmm,departure_delay_minutes,departure_delayed_15,scheduled_arrival_hhmm,actual_arrival_hhmm,arrival_delay_minutes,arrival_delayed_15,cancelled,cancellation_code,diverted,scheduled_elapsed_minutes,actual_elapsed_minutes,air_time_minutes,distance_miles,carrier_delay_minutes,weather_delay_minutes,national_aviation_system_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes
flt_df3e6236f8884e91f8f659bf38fa,2024-05-09,2,5,4,DL,DL,MKE,"Milwaukee, WI",WI,SLC,"Salt Lake City, UT",UT,620,613,-7.0,false,850,817,-33.0,false,false,,false,210.0,184.0,166.0,1247.0,,,,,
flt_5b3ecdeeb0ae22bfa0aa38f7f9a1,2024-12-19,4,12,4,UA,G7,ORD,"Chicago, IL",IL,LIT,"Little Rock, AR",AR,855,846,-9.0,false,1108,1049,-19.0,false,false,,false,133.0,123.0,84.0,552.0,,,,,
flt_f15e18f2b38500d88791d5ea2774,2024-08-16,3,8,5,DL,DL,MSP,"Minneapolis, MN",MN,MKE,"Milwaukee, WI",WI,1320,1355,35.0,true,1434,1513,39.0,true,false,,false,74.0,78.0,45.0,297.0,0.0,35.0,4.0,0.0,0.0
flt_235e7a316dfe7bc4993246ab2911,2024-06-07,2,6,5,UA,UA,ORD,"Chicago, IL",IL,DEN,"Denver, CO",CO,1615,1612,-3.0,false,1802,1804,2.0,false,false,,false,167.0,172.0,145.0,888.0,,,,,
flt_4f068d99d4bd87ab30bde70212ca,2024-12-31,4,12,2,UA,G7,ORD,"Chicago, IL",IL,AVP,"Scranton/Wilkes-Barre, PA",PA,1345,1345,0.0,false,1639,1641,2.0,false,false,,false,114.0,116.0,86.0,632.0,,,,,
flt_d2aa5ea88e02d4e019366d96ee54,2024-06-15,2,6,6,DL,DL,MKE,"Milwaukee, WI",WI,ATL,"Atlanta, GA",GA,600,558,-2.0,false,900,849,-11.0,false,false,,false,120.0,111.0,88.0,669.0,,,,,
flt_80c3911f1a0648f2647b53a6698f,2024-10-02,4,10,3,UA,UA,ORD,"Chicago, IL",IL,LAX,"Los Angeles, CA",CA,900,857,-3.0,false,1128,1120,-8.0,false,false,,false,268.0,263.0,213.0,1744.0,,,,,
flt_e4556b640d5094e7d07e94b333d9,2024-07-11,3,7,4,AA,AA,ORD,"Chicago, IL",IL,LAS,"Las Vegas, NV",NV,2102,2209,67.0,true,2251,2344,53.0,true,false,,false,229.0,215.0,185.0,1514.0,23.0,0.0,0.0,0.0,30.0
flt_36d82582fef438b3cfee03aa39aa,2024-11-04,4,11,1,DL,DL,MSP,"Minneapolis, MN",MN,ATL,"Atlanta, GA",GA,1814,1830,16.0,true,2150,2155,5.0,false,false,,false,156.0,145.0,125.0,907.0,,,,,
flt_008edfdfa0d1218fd7923ac9af05,2024-09-07,3,9,6,WN,WN,MKE,"Milwaukee, WI",WI,BNA,"Nashville, TN",TN,830,827,-3.0,false,1000,948,-12.0,false,false,,false,90.0,81.0,63.0,475.0,,,,,
flt_92bd5fe12152b8c35056c878c55e,2024-11-27,4,11,3,UA,UA,ORD,"Chicago, IL",IL,DFW,"Dallas/Fort Worth, TX",TX,848,859,11.0,false,1133,1139,6.0,false,false,,false,165.0,160.0,122.0,802.0,,,,,
flt_388eb2fae3c4bea6b90be6617f59,2024-09-28,3,9,6,AA,MQ,ORD,"Chicago, IL",IL,GRR,"Grand Rapids, MI",MI,944,938,-6.0,false,1140,1140,0.0,false,false,,false,56.0,62.0,32.0,137.0,,,,,
flt_9a4837bd46ed7db60ad2ca008f24,2024-04-29,2,4,1,WN,WN,MDW,"Chicago, IL",IL,PHX,"Phoenix, AZ",AZ,1550,1550,0.0,false,1730,1718,-12.0,false,false,,false,220.0,208.0,195.0,1444.0,,,,,
flt_be30e8ea29eef4d8246eb52a55df,2024-10-12,4,10,6,AA,AA,ORD,"Chicago, IL",IL,LAX,"Los Angeles, CA",CA,1709,1713,4.0,false,1940,1936,-4.0,false,false,,false,271.0,263.0,236.0,1744.0,,,,,
