crash_id,crash_datetime,crash_year,crash_month,crash_month_name,crash_weekday_name,crash_hour,time_period,posted_speed_limit_mph,traffic_control_device,reported_weather_condition,reported_lighting_condition,first_crash_type,trafficway_type,reported_road_surface_condition,crash_type,intersection_related,hit_and_run,estimated_damage,primary_contributory_cause,unit_count,most_severe_injury,injuries_total,injuries_fatal,latitude,longitude,zip5,weather_station_name,temperature_f,dew_point_f,relative_humidity_percent,precipitation_inches,visibility_miles,wind_speed_mph
crash_09786,2022-12-11 12:45:00,2022,12,Dec,Sun,12,Daytime,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,FOUR WAY,DRY,NO INJURY / DRIVE AWAY,true,,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.7068233366,-87.6429774693,60643,"CHICAGO MIDWAY AIRPORT, IL US",38.0,30.0,73.0,0.0,10.0,7.0
crash_09787,2024-11-11 08:45:00,2024,11,Nov,Mon,8,Morning commute,25,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",UNABLE TO DETERMINE,2,"REPORTED, NOT EVIDENT",1,0,41.9175933405,-87.7826626677,60639,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",54.0,45.0,72.0,0.0,10.0,14.0
crash_09788,2022-04-18 02:13:00,2022,4,Apr,Mon,2,Night or early morning,30,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,WET,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,5,NO INDICATION OF INJURY,0,0,41.862983408,-87.7151762762,60623,"CHICAGO MIDWAY AIRPORT, IL US",38.0,33.0,83.0,0.01,10.0,8.0
crash_09789,2019-07-03 06:29:00,2019,7,Jul,Wed,6,Morning commute,30,TRAFFIC SIGNAL,RAIN,DAYLIGHT,TURNING,NOT DIVIDED,WET,INJURY AND / OR TOW DUE TO CRASH,true,,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NONINCAPACITATING INJURY,1,0,41.9097338901,-87.746244973,60639,"CHICAGO MIDWAY AIRPORT, IL US",71.0,68.0,90.0,0.01,10.0,7.0
crash_09790,2020-06-18 20:00:00,2020,6,Jun,Thu,20,Night or early morning,15,NO CONTROLS,CLEAR,DUSK,PARKED MOTOR VEHICLE,ALLEY,DRY,NO INJURY / DRIVE AWAY,,true,"OVER $1,500",IMPROPER OVERTAKING/PASSING,2,NO INDICATION OF INJURY,0,0,41.9470007112,-87.7589813159,60641,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",81.0,50.0,34.0,0.0,10.0,8.0
crash_09791,2020-09-21 16:45:00,2020,9,Sep,Mon,16,Evening commute,30,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,true,"$501 - $1,500",IMPROPER OVERTAKING/PASSING,2,NO INDICATION OF INJURY,0,0,41.6703909562,-87.6175153093,60628,"CHICAGO MIDWAY AIRPORT, IL US",75.0,42.0,31.0,0.0,10.0,10.0
crash_09792,2025-04-28 10:00:00,2025,4,Apr,Mon,10,Daytime,30,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.9684434043,-87.7196171372,60625,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",66.0,44.0,45.0,0.0,10.0,16.0
crash_09793,2020-08-21 17:40:00,2020,8,Aug,Fri,17,Evening commute,25,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,DRY,NO INJURY / DRIVE AWAY,true,true,"$501 - $1,500",DISREGARDING STOP SIGN,2,NO INDICATION OF INJURY,0,0,41.945067829,-87.761954483,60641,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",86.0,57.0,37.0,0.0,10.0,7.0
crash_09794,2023-02-24 14:15:00,2023,2,Feb,Fri,14,Daytime,35,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,ONE-WAY,DRY,NO INJURY / DRIVE AWAY,,,"OVER $1,500",FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,41.6908635887,-87.624672185,60628,"CHICAGO MIDWAY AIRPORT, IL US",28.0,14.0,56.0,0.0,10.0,6.0
crash_09795,2024-06-07 00:25:00,2024,6,Jun,Fri,0,Night or early morning,30,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,true,"OVER $1,500",UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),1,NO INDICATION OF INJURY,0,0,41.8690156557,-87.6467922265,60607,"CHICAGO MIDWAY AIRPORT, IL US",67.0,44.0,44.0,0.0,10.0,10.0
